lfc-trtw.nfo	-	6694	1	0	0	0
lfc-trtw.r00	-	50000000	1	6694	0	1
lfc-trtw.r01	-	50000000	1	50006694	0	49
lfc-trtw.r02	-	50000000	1	100006694	0	97
lfc-trtw.r03	-	50000000	1	150006694	0	145
lfc-trtw.r04	-	50000000	1	200006694	0	193
lfc-trtw.r05	-	50000000	1	250006694	0	241
lfc-trtw.r06	-	50000000	1	300006694	0	289
lfc-trtw.r07	-	50000000	1	350006694	0	337
lfc-trtw.r08	-	50000000	1	400006694	0	385
lfc-trtw.r09	-	50000000	1	450006694	0	433
lfc-trtw.r10	-	50000000	1	500006694	0	481
lfc-trtw.r11	-	50000000	1	12251264	1	12
lfc-trtw.r12	-	50000000	1	62251264	1	60
lfc-trtw.r13	-	50000000	1	112251264	1	108
lfc-trtw.r14	-	50000000	1	162251264	1	156
lfc-trtw.r15	-	50000000	1	212251264	1	204
lfc-trtw.r16	-	50000000	1	262251264	1	252
lfc-trtw.r17	-	50000000	1	312251264	1	300
lfc-trtw.r18	-	50000000	1	362251264	1	348
lfc-trtw.r19	-	50000000	1	412251264	1	396
lfc-trtw.r20	-	50000000	1	462251264	1	444
lfc-trtw.r21	-	50000000	1	512251264	1	492
lfc-trtw.r22	-	50000000	1	24834176	2	24
lfc-trtw.r23	-	50000000	1	74834176	2	72
lfc-trtw.r24	-	50000000	1	124834176	2	120
lfc-trtw.r25	-	50000000	1	174834176	2	168
lfc-trtw.r26	-	50000000	1	224834176	2	216
lfc-trtw.r27	-	50000000	1	274834176	2	264
lfc-trtw.r28	-	50000000	1	324834176	2	312
lfc-trtw.r29	-	50000000	1	374834176	2	360
lfc-trtw.r30	-	4752638	1	424834176	2	408
lfc-trtw.rar	-	50000000	1	429586814	2	413
lfc-trtw.sfv	-	736	1	479586814	2	461
