hr-a7tsa.nfo	-	11258	1	0	0	0
hr-a7tsa.r00	-	50000000	1	11258	0	1
hr-a7tsa.r01	-	50000000	1	50011258	0	49
hr-a7tsa.r02	-	50000000	1	100011258	0	97
hr-a7tsa.r03	-	50000000	1	150011258	0	145
hr-a7tsa.r04	-	50000000	1	200011258	0	193
hr-a7tsa.r05	-	50000000	1	250011258	0	241
hr-a7tsa.r06	-	50000000	1	300011258	0	289
hr-a7tsa.r07	-	50000000	1	350011258	0	337
hr-a7tsa.r08	-	50000000	1	400011258	0	385
hr-a7tsa.r09	-	50000000	1	450011258	0	433
hr-a7tsa.r10	-	50000000	1	500011258	0	481
hr-a7tsa.r11	-	50000000	1	12251264	1	12
hr-a7tsa.r12	-	50000000	1	62251264	1	60
hr-a7tsa.r13	-	50000000	1	112251264	1	108
hr-a7tsa.r14	-	50000000	1	162251264	1	156
hr-a7tsa.r15	-	50000000	1	212251264	1	204
hr-a7tsa.r16	-	50000000	1	262251264	1	252
hr-a7tsa.r17	-	50000000	1	312251264	1	300
hr-a7tsa.r18	-	50000000	1	362251264	1	348
hr-a7tsa.r19	-	50000000	1	412251264	1	396
hr-a7tsa.r20	-	50000000	1	462251264	1	444
hr-a7tsa.r21	-	50000000	1	512251264	1	492
hr-a7tsa.r22	-	50000000	1	24834176	2	24
hr-a7tsa.r23	-	50000000	1	74834176	2	72
hr-a7tsa.r24	-	50000000	1	124834176	2	120
hr-a7tsa.r25	-	50000000	1	174834176	2	168
hr-a7tsa.r26	-	50000000	1	224834176	2	216
hr-a7tsa.r27	-	50000000	1	274834176	2	264
hr-a7tsa.r28	-	50000000	1	324834176	2	312
hr-a7tsa.r29	-	50000000	1	374834176	2	360
hr-a7tsa.r30	-	50000000	1	424834176	2	408
hr-a7tsa.r31	-	50000000	1	474834176	2	456
hr-a7tsa.r32	-	50000000	1	524834176	2	504
hr-a7tsa.r33	-	50000000	1	37417088	3	36
hr-a7tsa.r34	-	50000000	1	87417088	3	84
hr-a7tsa.r35	-	50000000	1	137417088	3	132
hr-a7tsa.r36	-	50000000	1	187417088	3	180
hr-a7tsa.r37	-	50000000	1	237417088	3	228
hr-a7tsa.r38	-	50000000	1	287417088	3	276
hr-a7tsa.r39	-	50000000	1	337417088	3	324
hr-a7tsa.r40	-	50000000	1	387417088	3	372
hr-a7tsa.r41	-	50000000	1	437417088	3	420
hr-a7tsa.r42	-	50000000	1	487417088	3	468
hr-a7tsa.r43	-	50000000	1	0	4	0
hr-a7tsa.r44	-	50000000	1	50000000	4	48
hr-a7tsa.r45	-	50000000	1	100000000	4	96
hr-a7tsa.r46	-	50000000	1	150000000	4	144
hr-a7tsa.r47	-	50000000	1	200000000	4	192
hr-a7tsa.r48	-	50000000	1	250000000	4	240
hr-a7tsa.r49	-	50000000	1	300000000	4	288
hr-a7tsa.r50	-	20458772	1	350000000	4	336
hr-a7tsa.rar	-	50000000	1	370458772	4	356
hr-a7tsa.sfv	-	1196	1	420458772	4	404
Proof	d	0	1	420459968	4	405
Proof/hr-a7tsa.jpg	-	119486	1	420459968	4	405
