w-wrc8.nfo	-	9338	1	0	0	0
w-wrc8.r00	-	200000000	1	9338	0	1
w-wrc8.r01	-	200000000	1	200009338	0	192
w-wrc8.r02	-	200000000	1	400009338	0	383
w-wrc8.r03	-	200000000	1	62636544	1	60
w-wrc8.r04	-	200000000	1	262636544	1	251
w-wrc8.r05	-	200000000	1	462636544	1	442
w-wrc8.r06	-	200000000	1	125551104	2	120
w-wrc8.r07	-	200000000	1	325551104	2	311
w-wrc8.r08	-	200000000	1	525551104	2	502
w-wrc8.r09	-	200000000	1	188465664	3	180
w-wrc8.r10	-	200000000	1	388465664	3	371
w-wrc8.r11	-	200000000	1	51102208	4	49
w-wrc8.r12	-	200000000	1	251102208	4	240
w-wrc8.r13	-	200000000	1	451102208	4	431
w-wrc8.r14	-	200000000	1	114016768	5	109
w-wrc8.r15	-	200000000	1	314016768	5	300
w-wrc8.r16	-	200000000	1	514016768	5	491
w-wrc8.r17	-	200000000	1	176931328	6	169
w-wrc8.r18	-	200000000	1	376931328	6	360
w-wrc8.r19	-	200000000	1	39567872	7	38
w-wrc8.r20	-	200000000	1	239567872	7	229
w-wrc8.r21	-	200000000	1	439567872	7	420
w-wrc8.r22	-	200000000	1	102482432	8	98
w-wrc8.r23	-	200000000	1	302482432	8	289
w-wrc8.r24	-	200000000	1	502482432	8	480
w-wrc8.r25	-	200000000	1	165396992	9	158
w-wrc8.r26	-	200000000	1	365396992	9	349
w-wrc8.r27	-	200000000	1	28033536	10	27
w-wrc8.r28	-	200000000	1	228033536	10	218
w-wrc8.r29	-	200000000	1	428033536	10	409
w-wrc8.r30	-	200000000	1	90948096	11	87
w-wrc8.r31	-	200000000	1	290948096	11	278
w-wrc8.r32	-	200000000	1	490948096	11	469
w-wrc8.r33	-	200000000	1	153862656	12	147
w-wrc8.r34	-	200000000	1	353862656	12	338
w-wrc8.r35	-	200000000	1	16499200	13	16
w-wrc8.r36	-	200000000	1	216499200	13	207
w-wrc8.r37	-	200000000	1	416499200	13	398
w-wrc8.r38	-	200000000	1	79413760	14	76
w-wrc8.r39	-	200000000	1	279413760	14	267
w-wrc8.r40	-	200000000	1	479413760	14	458
w-wrc8.r41	-	200000000	1	142328320	15	136
w-wrc8.r42	-	200000000	1	342328320	15	327
w-wrc8.r43	-	200000000	1	4964864	16	5
w-wrc8.r44	-	200000000	1	204964864	16	196
w-wrc8.r45	-	200000000	1	404964864	16	387
w-wrc8.r46	-	200000000	1	67879424	17	65
w-wrc8.r47	-	200000000	1	267879424	17	256
w-wrc8.r48	-	200000000	1	467879424	17	447
w-wrc8.r49	-	200000000	1	130793984	18	125
w-wrc8.r50	-	200000000	1	330793984	18	316
w-wrc8.r51	-	200000000	1	530793984	18	507
w-wrc8.r52	-	200000000	1	193708544	19	185
w-wrc8.r53	-	200000000	1	393708544	19	376
w-wrc8.r54	-	200000000	1	56345088	20	54
w-wrc8.r55	-	200000000	1	256345088	20	245
w-wrc8.r56	-	200000000	1	456345088	20	436
w-wrc8.r57	-	200000000	1	119259648	21	114
w-wrc8.r58	-	200000000	1	319259648	21	305
w-wrc8.r59	-	200000000	1	519259648	21	496
w-wrc8.r60	-	200000000	1	182174208	22	174
w-wrc8.r61	-	200000000	1	382174208	22	365
w-wrc8.r62	-	200000000	1	44810752	23	43
w-wrc8.r63	-	200000000	1	244810752	23	234
w-wrc8.r64	-	200000000	1	444810752	23	425
w-wrc8.r65	-	200000000	1	107725312	24	103
w-wrc8.r66	-	200000000	1	307725312	24	294
w-wrc8.r67	-	200000000	1	507725312	24	485
w-wrc8.r68	-	200000000	1	170639872	25	163
w-wrc8.r69	-	200000000	1	370639872	25	354
w-wrc8.r70	-	200000000	1	33276416	26	32
w-wrc8.r71	-	200000000	1	233276416	26	223
w-wrc8.r72	-	75808164	1	433276416	26	414
w-wrc8.rar	-	200000000	1	509084580	26	487
w-wrc8.sfv	-	1554	1	171688448	27	164
