n-pba2k21.nfo	-	6072	1	0	0	0
n-pba2k21.r00	-	50000000	1	6072	0	1
n-pba2k21.r01	-	50000000	1	50006072	0	49
n-pba2k21.r02	-	50000000	1	100006072	0	97
n-pba2k21.r03	-	50000000	1	150006072	0	145
n-pba2k21.r04	-	50000000	1	200006072	0	193
n-pba2k21.r05	-	50000000	1	250006072	0	241
n-pba2k21.r06	-	50000000	1	300006072	0	289
n-pba2k21.r07	-	50000000	1	350006072	0	337
n-pba2k21.r08	-	50000000	1	400006072	0	385
n-pba2k21.r09	-	50000000	1	450006072	0	433
n-pba2k21.r10	-	50000000	1	500006072	0	481
n-pba2k21.r11	-	50000000	1	12251264	1	12
n-pba2k21.r12	-	50000000	1	62251264	1	60
n-pba2k21.r13	-	50000000	1	112251264	1	108
n-pba2k21.r14	-	50000000	1	162251264	1	156
n-pba2k21.r15	-	50000000	1	212251264	1	204
n-pba2k21.r16	-	50000000	1	262251264	1	252
n-pba2k21.r17	-	50000000	1	312251264	1	300
n-pba2k21.r18	-	50000000	1	362251264	1	348
n-pba2k21.r19	-	50000000	1	412251264	1	396
n-pba2k21.r20	-	50000000	1	462251264	1	444
n-pba2k21.r21	-	50000000	1	512251264	1	492
n-pba2k21.r22	-	50000000	1	24834176	2	24
n-pba2k21.r23	-	50000000	1	74834176	2	72
n-pba2k21.r24	-	50000000	1	124834176	2	120
n-pba2k21.r25	-	50000000	1	174834176	2	168
n-pba2k21.r26	-	50000000	1	224834176	2	216
n-pba2k21.r27	-	50000000	1	274834176	2	264
n-pba2k21.r28	-	50000000	1	324834176	2	312
n-pba2k21.r29	-	50000000	1	374834176	2	360
n-pba2k21.r30	-	50000000	1	424834176	2	408
n-pba2k21.r31	-	50000000	1	474834176	2	456
n-pba2k21.r32	-	50000000	1	524834176	2	504
n-pba2k21.r33	-	50000000	1	37417088	3	36
n-pba2k21.r34	-	50000000	1	87417088	3	84
n-pba2k21.r35	-	50000000	1	137417088	3	132
n-pba2k21.r36	-	50000000	1	187417088	3	180
n-pba2k21.r37	-	50000000	1	237417088	3	228
n-pba2k21.r38	-	50000000	1	287417088	3	276
n-pba2k21.r39	-	50000000	1	337417088	3	324
n-pba2k21.r40	-	50000000	1	387417088	3	372
n-pba2k21.r41	-	50000000	1	437417088	3	420
n-pba2k21.r42	-	50000000	1	487417088	3	468
n-pba2k21.r43	-	50000000	1	0	4	0
n-pba2k21.r44	-	50000000	1	50000000	4	48
n-pba2k21.r45	-	50000000	1	100000000	4	96
n-pba2k21.r46	-	50000000	1	150000000	4	144
n-pba2k21.r47	-	50000000	1	200000000	4	192
n-pba2k21.r48	-	50000000	1	250000000	4	240
n-pba2k21.r49	-	29047485	1	300000000	4	288
n-pba2k21.rar	-	50000000	1	329047485	4	316
n-pba2k21.sfv	-	1224	1	379047485	4	364
