hr-abvka.nfo	-	20150	1	0	0	0
hr-abvka.r00	-	100000000	1	20150	0	1
hr-abvka.r01	-	100000000	1	100020150	0	97
hr-abvka.r02	-	100000000	1	200020150	0	193
hr-abvka.r03	-	100000000	1	300020150	0	289
hr-abvka.r04	-	100000000	1	400020150	0	385
hr-abvka.r05	-	100000000	1	500020150	0	481
hr-abvka.r06	-	100000000	1	62251264	1	60
hr-abvka.r07	-	100000000	1	162251264	1	156
hr-abvka.r08	-	100000000	1	262251264	1	252
hr-abvka.r09	-	100000000	1	362251264	1	348
hr-abvka.r10	-	100000000	1	462251264	1	444
hr-abvka.r11	-	100000000	1	24502528	2	24
hr-abvka.r12	-	100000000	1	124502528	2	120
hr-abvka.r13	-	100000000	1	224502528	2	216
hr-abvka.r14	-	100000000	1	324502528	2	312
hr-abvka.r15	-	100000000	1	424502528	2	408
hr-abvka.r16	-	100000000	1	524502528	2	504
hr-abvka.r17	-	100000000	1	87417088	3	84
hr-abvka.r18	-	100000000	1	187417088	3	180
hr-abvka.r19	-	100000000	1	287417088	3	276
hr-abvka.r20	-	100000000	1	387417088	3	372
hr-abvka.r21	-	100000000	1	487417088	3	468
hr-abvka.r22	-	100000000	1	49668352	4	48
hr-abvka.r23	-	100000000	1	149668352	4	144
hr-abvka.r24	-	100000000	1	249668352	4	240
hr-abvka.r25	-	100000000	1	349668352	4	336
hr-abvka.r26	-	100000000	1	449668352	4	432
hr-abvka.r27	-	100000000	1	11919616	5	12
hr-abvka.r28	-	100000000	1	111919616	5	108
hr-abvka.r29	-	100000000	1	211919616	5	204
hr-abvka.r30	-	100000000	1	311919616	5	300
hr-abvka.r31	-	100000000	1	411919616	5	396
hr-abvka.r32	-	100000000	1	511919616	5	492
hr-abvka.r33	-	100000000	1	74834176	6	72
hr-abvka.r34	-	100000000	1	174834176	6	168
hr-abvka.r35	-	100000000	1	274834176	6	264
hr-abvka.r36	-	100000000	1	374834176	6	360
hr-abvka.r37	-	100000000	1	474834176	6	456
hr-abvka.r38	-	100000000	1	37085440	7	36
hr-abvka.r39	-	100000000	1	137085440	7	132
hr-abvka.r40	-	100000000	1	237085440	7	228
hr-abvka.r41	-	100000000	1	337085440	7	324
hr-abvka.r42	-	100000000	1	437085440	7	420
hr-abvka.r43	-	100000000	1	0	8	0
hr-abvka.r44	-	100000000	1	100000000	8	96
hr-abvka.r45	-	100000000	1	200000000	8	192
hr-abvka.r46	-	100000000	1	300000000	8	288
hr-abvka.r47	-	100000000	1	400000000	8	384
hr-abvka.r48	-	100000000	1	500000000	8	480
hr-abvka.r49	-	100000000	1	62251264	9	60
hr-abvka.r50	-	100000000	1	162251264	9	156
hr-abvka.r51	-	100000000	1	262251264	9	252
hr-abvka.r52	-	100000000	1	362251264	9	348
hr-abvka.r53	-	100000000	1	462251264	9	444
hr-abvka.r54	-	100000000	1	24502528	10	24
hr-abvka.r55	-	100000000	1	124502528	10	120
hr-abvka.r56	-	100000000	1	224502528	10	216
hr-abvka.r57	-	100000000	1	324502528	10	312
hr-abvka.r58	-	100000000	1	424502528	10	408
hr-abvka.r59	-	100000000	1	524502528	10	504
hr-abvka.r60	-	100000000	1	87417088	11	84
hr-abvka.r61	-	100000000	1	187417088	11	180
hr-abvka.r62	-	100000000	1	287417088	11	276
hr-abvka.r63	-	100000000	1	387417088	11	372
hr-abvka.r64	-	100000000	1	487417088	11	468
hr-abvka.r65	-	100000000	1	49668352	12	48
hr-abvka.r66	-	100000000	1	149668352	12	144
hr-abvka.r67	-	100000000	1	249668352	12	240
hr-abvka.r68	-	100000000	1	349668352	12	336
hr-abvka.r69	-	97030388	1	449668352	12	432
hr-abvka.rar	-	100000000	1	8950004	13	9
hr-abvka.sfv	-	1633	1	108950004	13	105
