v-klaus.nfo	-	6292	1	0	0	0
v-klaus.r00	-	50000000	1	6292	0	1
v-klaus.r01	-	50000000	1	50006292	0	49
v-klaus.r02	-	50000000	1	100006292	0	97
v-klaus.r03	-	50000000	1	150006292	0	145
v-klaus.r04	-	50000000	1	200006292	0	193
v-klaus.r05	-	50000000	1	250006292	0	241
v-klaus.r06	-	50000000	1	300006292	0	289
v-klaus.r07	-	50000000	1	350006292	0	337
v-klaus.r08	-	50000000	1	400006292	0	385
v-klaus.r09	-	50000000	1	450006292	0	433
v-klaus.r10	-	50000000	1	500006292	0	481
v-klaus.r11	-	50000000	1	12251264	1	12
v-klaus.r12	-	50000000	1	62251264	1	60
v-klaus.r13	-	50000000	1	112251264	1	108
v-klaus.r14	-	50000000	1	162251264	1	156
v-klaus.r15	-	50000000	1	212251264	1	204
v-klaus.r16	-	50000000	1	262251264	1	252
v-klaus.r17	-	50000000	1	312251264	1	300
v-klaus.r18	-	50000000	1	362251264	1	348
v-klaus.r19	-	50000000	1	412251264	1	396
v-klaus.r20	-	50000000	1	462251264	1	444
v-klaus.r21	-	50000000	1	512251264	1	492
v-klaus.r22	-	50000000	1	24834176	2	24
v-klaus.r23	-	50000000	1	74834176	2	72
v-klaus.r24	-	50000000	1	124834176	2	120
v-klaus.r25	-	50000000	1	174834176	2	168
v-klaus.r26	-	50000000	1	224834176	2	216
v-klaus.r27	-	50000000	1	274834176	2	264
v-klaus.r28	-	50000000	1	324834176	2	312
v-klaus.r29	-	50000000	1	374834176	2	360
v-klaus.r30	-	50000000	1	424834176	2	408
v-klaus.r31	-	50000000	1	474834176	2	456
v-klaus.r32	-	50000000	1	524834176	2	504
v-klaus.r33	-	50000000	1	37417088	3	36
v-klaus.r34	-	50000000	1	87417088	3	84
v-klaus.r35	-	50000000	1	137417088	3	132
v-klaus.r36	-	50000000	1	187417088	3	180
v-klaus.r37	-	50000000	1	237417088	3	228
v-klaus.r38	-	50000000	1	287417088	3	276
v-klaus.r39	-	50000000	1	337417088	3	324
v-klaus.r40	-	50000000	1	387417088	3	372
v-klaus.r41	-	50000000	1	437417088	3	420
v-klaus.r42	-	50000000	1	487417088	3	468
v-klaus.r43	-	50000000	1	0	4	0
v-klaus.r44	-	50000000	1	50000000	4	48
v-klaus.r45	-	50000000	1	100000000	4	96
v-klaus.r46	-	50000000	1	150000000	4	144
v-klaus.r47	-	50000000	1	200000000	4	192
v-klaus.r48	-	50000000	1	250000000	4	240
v-klaus.r49	-	50000000	1	300000000	4	288
v-klaus.r50	-	50000000	1	350000000	4	336
v-klaus.r51	-	50000000	1	400000000	4	384
v-klaus.r52	-	50000000	1	450000000	4	432
v-klaus.r53	-	50000000	1	500000000	4	480
v-klaus.r54	-	50000000	1	12251264	5	12
v-klaus.r55	-	50000000	1	62251264	5	60
v-klaus.r56	-	50000000	1	112251264	5	108
v-klaus.r57	-	50000000	1	162251264	5	156
v-klaus.r58	-	50000000	1	212251264	5	204
v-klaus.r59	-	50000000	1	262251264	5	252
v-klaus.r60	-	50000000	1	312251264	5	300
v-klaus.r61	-	50000000	1	362251264	5	348
v-klaus.r62	-	50000000	1	412251264	5	396
v-klaus.r63	-	50000000	1	462251264	5	444
v-klaus.r64	-	50000000	1	512251264	5	492
v-klaus.r65	-	50000000	1	24834176	6	24
v-klaus.r66	-	50000000	1	74834176	6	72
v-klaus.r67	-	50000000	1	124834176	6	120
v-klaus.r68	-	50000000	1	174834176	6	168
v-klaus.r69	-	50000000	1	224834176	6	216
v-klaus.r70	-	50000000	1	274834176	6	264
v-klaus.r71	-	50000000	1	324834176	6	312
v-klaus.r72	-	50000000	1	374834176	6	360
v-klaus.r73	-	50000000	1	424834176	6	408
v-klaus.r74	-	50000000	1	474834176	6	456
v-klaus.r75	-	50000000	1	524834176	6	504
v-klaus.r76	-	50000000	1	37417088	7	36
v-klaus.r77	-	50000000	1	87417088	7	84
v-klaus.r78	-	50000000	1	137417088	7	132
v-klaus.r79	-	50000000	1	187417088	7	180
v-klaus.r80	-	50000000	1	237417088	7	228
v-klaus.r81	-	37922630	1	287417088	7	276
v-klaus.rar	-	50000000	1	325339718	7	313
v-klaus.sfv	-	1826	1	375339718	7	361
