i-luxar.nfo	-	1105	1	0	0	0
i-luxar.r00	-	50000000	1	1105	0	1
i-luxar.r01	-	50000000	1	50001105	0	49
i-luxar.r02	-	50000000	1	100001105	0	97
i-luxar.r03	-	50000000	1	150001105	0	145
i-luxar.r04	-	50000000	1	200001105	0	193
i-luxar.r05	-	50000000	1	250001105	0	241
i-luxar.r06	-	50000000	1	300001105	0	289
i-luxar.r07	-	50000000	1	350001105	0	337
i-luxar.r08	-	50000000	1	400001105	0	385
i-luxar.r09	-	50000000	1	450001105	0	433
i-luxar.r10	-	50000000	1	500001105	0	481
i-luxar.r11	-	50000000	1	12251264	1	12
i-luxar.r12	-	50000000	1	62251264	1	60
i-luxar.r13	-	50000000	1	112251264	1	108
i-luxar.r14	-	50000000	1	162251264	1	156
i-luxar.r15	-	50000000	1	212251264	1	204
i-luxar.r16	-	50000000	1	262251264	1	252
i-luxar.r17	-	50000000	1	312251264	1	300
i-luxar.r18	-	50000000	1	362251264	1	348
i-luxar.r19	-	50000000	1	412251264	1	396
i-luxar.r20	-	50000000	1	462251264	1	444
i-luxar.r21	-	50000000	1	512251264	1	492
i-luxar.r22	-	50000000	1	24834176	2	24
i-luxar.r23	-	50000000	1	74834176	2	72
i-luxar.r24	-	50000000	1	124834176	2	120
i-luxar.r25	-	50000000	1	174834176	2	168
i-luxar.r26	-	50000000	1	224834176	2	216
i-luxar.r27	-	50000000	1	274834176	2	264
i-luxar.r28	-	50000000	1	324834176	2	312
i-luxar.r29	-	50000000	1	374834176	2	360
i-luxar.r30	-	50000000	1	424834176	2	408
i-luxar.r31	-	8544765	1	474834176	2	456
i-luxar.rar	-	50000000	1	483378941	2	465
i-luxar.sfv	-	726	1	533378941	2	513
