hr-a2xjb.nfo	-	11258	1	0	0	0
hr-a2xjb.r00	-	100000000	1	11258	0	1
hr-a2xjb.r01	-	100000000	1	100011258	0	97
hr-a2xjb.r02	-	100000000	1	200011258	0	193
hr-a2xjb.r03	-	100000000	1	300011258	0	289
hr-a2xjb.r04	-	100000000	1	400011258	0	385
hr-a2xjb.r05	-	100000000	1	500011258	0	481
hr-a2xjb.r06	-	100000000	1	62251264	1	60
hr-a2xjb.r07	-	100000000	1	162251264	1	156
hr-a2xjb.r08	-	100000000	1	262251264	1	252
hr-a2xjb.r09	-	100000000	1	362251264	1	348
hr-a2xjb.r10	-	100000000	1	462251264	1	444
hr-a2xjb.r11	-	100000000	1	24502528	2	24
hr-a2xjb.r12	-	100000000	1	124502528	2	120
hr-a2xjb.r13	-	100000000	1	224502528	2	216
hr-a2xjb.r14	-	100000000	1	324502528	2	312
hr-a2xjb.r15	-	100000000	1	424502528	2	408
hr-a2xjb.r16	-	100000000	1	524502528	2	504
hr-a2xjb.r17	-	100000000	1	87417088	3	84
hr-a2xjb.r18	-	100000000	1	187417088	3	180
hr-a2xjb.r19	-	100000000	1	287417088	3	276
hr-a2xjb.r20	-	100000000	1	387417088	3	372
hr-a2xjb.r21	-	100000000	1	487417088	3	468
hr-a2xjb.r22	-	100000000	1	49668352	4	48
hr-a2xjb.r23	-	100000000	1	149668352	4	144
hr-a2xjb.r24	-	100000000	1	249668352	4	240
hr-a2xjb.r25	-	100000000	1	349668352	4	336
hr-a2xjb.r26	-	100000000	1	449668352	4	432
hr-a2xjb.r27	-	100000000	1	11919616	5	12
hr-a2xjb.r28	-	100000000	1	111919616	5	108
hr-a2xjb.r29	-	100000000	1	211919616	5	204
hr-a2xjb.r30	-	100000000	1	311919616	5	300
hr-a2xjb.r31	-	100000000	1	411919616	5	396
hr-a2xjb.r32	-	100000000	1	511919616	5	492
hr-a2xjb.r33	-	100000000	1	74834176	6	72
hr-a2xjb.r34	-	100000000	1	174834176	6	168
hr-a2xjb.r35	-	100000000	1	274834176	6	264
hr-a2xjb.r36	-	100000000	1	374834176	6	360
hr-a2xjb.r37	-	100000000	1	474834176	6	456
hr-a2xjb.r38	-	100000000	1	37085440	7	36
hr-a2xjb.r39	-	100000000	1	137085440	7	132
hr-a2xjb.r40	-	100000000	1	237085440	7	228
hr-a2xjb.r41	-	100000000	1	337085440	7	324
hr-a2xjb.r42	-	100000000	1	437085440	7	420
hr-a2xjb.r43	-	100000000	1	0	8	0
hr-a2xjb.r44	-	100000000	1	100000000	8	96
hr-a2xjb.r45	-	100000000	1	200000000	8	192
hr-a2xjb.r46	-	100000000	1	300000000	8	288
hr-a2xjb.r47	-	100000000	1	400000000	8	384
hr-a2xjb.r48	-	100000000	1	500000000	8	480
hr-a2xjb.r49	-	100000000	1	62251264	9	60
hr-a2xjb.r50	-	100000000	1	162251264	9	156
hr-a2xjb.r51	-	100000000	1	262251264	9	252
hr-a2xjb.r52	-	100000000	1	362251264	9	348
hr-a2xjb.r53	-	100000000	1	462251264	9	444
hr-a2xjb.r54	-	100000000	1	24502528	10	24
hr-a2xjb.r55	-	100000000	1	124502528	10	120
hr-a2xjb.r56	-	100000000	1	224502528	10	216
hr-a2xjb.r57	-	100000000	1	324502528	10	312
hr-a2xjb.r58	-	100000000	1	424502528	10	408
hr-a2xjb.r59	-	100000000	1	524502528	10	504
hr-a2xjb.r60	-	100000000	1	87417088	11	84
hr-a2xjb.r61	-	100000000	1	187417088	11	180
hr-a2xjb.r62	-	100000000	1	287417088	11	276
hr-a2xjb.r63	-	100000000	1	387417088	11	372
hr-a2xjb.r64	-	100000000	1	487417088	11	468
hr-a2xjb.r65	-	100000000	1	49668352	12	48
hr-a2xjb.r66	-	100000000	1	149668352	12	144
hr-a2xjb.r67	-	100000000	1	249668352	12	240
hr-a2xjb.r68	-	100000000	1	349668352	12	336
hr-a2xjb.r69	-	10247657	1	449668352	12	432
hr-a2xjb.rar	-	100000000	1	459916009	12	442
hr-a2xjb.sfv	-	1633	1	22405376	13	22
Proof	d	0	1	22407009	13	23
Proof/hr-a2xjb.jpg	-	3423493	1	22407009	13	23
