hr-bbkna.nfo	-	43404	1	0	0	0
hr-bbkna.r00	-	50000000	1	43404	0	1
hr-bbkna.r01	-	50000000	1	50043404	0	49
hr-bbkna.r02	-	50000000	1	100043404	0	97
hr-bbkna.r03	-	50000000	1	150043404	0	145
hr-bbkna.r04	-	50000000	1	200043404	0	193
hr-bbkna.r05	-	50000000	1	250043404	0	241
hr-bbkna.r06	-	50000000	1	300043404	0	289
hr-bbkna.r07	-	50000000	1	350043404	0	337
hr-bbkna.r08	-	50000000	1	400043404	0	385
hr-bbkna.r09	-	50000000	1	450043404	0	433
hr-bbkna.r10	-	50000000	1	500043404	0	481
hr-bbkna.r11	-	50000000	1	12251264	1	12
hr-bbkna.r12	-	50000000	1	62251264	1	60
hr-bbkna.r13	-	50000000	1	112251264	1	108
hr-bbkna.r14	-	50000000	1	162251264	1	156
hr-bbkna.r15	-	50000000	1	212251264	1	204
hr-bbkna.r16	-	50000000	1	262251264	1	252
hr-bbkna.r17	-	50000000	1	312251264	1	300
hr-bbkna.r18	-	50000000	1	362251264	1	348
hr-bbkna.r19	-	50000000	1	412251264	1	396
hr-bbkna.r20	-	50000000	1	462251264	1	444
hr-bbkna.r21	-	50000000	1	512251264	1	492
hr-bbkna.r22	-	50000000	1	24834176	2	24
hr-bbkna.r23	-	50000000	1	74834176	2	72
hr-bbkna.r24	-	50000000	1	124834176	2	120
hr-bbkna.r25	-	50000000	1	174834176	2	168
hr-bbkna.r26	-	50000000	1	224834176	2	216
hr-bbkna.r27	-	50000000	1	274834176	2	264
hr-bbkna.r28	-	50000000	1	324834176	2	312
hr-bbkna.r29	-	50000000	1	374834176	2	360
hr-bbkna.r30	-	50000000	1	424834176	2	408
hr-bbkna.r31	-	50000000	1	474834176	2	456
hr-bbkna.r32	-	50000000	1	524834176	2	504
hr-bbkna.r33	-	50000000	1	37417088	3	36
hr-bbkna.r34	-	50000000	1	87417088	3	84
hr-bbkna.r35	-	50000000	1	137417088	3	132
hr-bbkna.r36	-	50000000	1	187417088	3	180
hr-bbkna.r37	-	50000000	1	237417088	3	228
hr-bbkna.r38	-	50000000	1	287417088	3	276
hr-bbkna.r39	-	50000000	1	337417088	3	324
hr-bbkna.r40	-	50000000	1	387417088	3	372
hr-bbkna.r41	-	50000000	1	437417088	3	420
hr-bbkna.r42	-	50000000	1	487417088	3	468
hr-bbkna.r43	-	50000000	1	0	4	0
hr-bbkna.r44	-	16921761	1	50000000	4	48
hr-bbkna.rar	-	50000000	1	66921761	4	65
hr-bbkna.sfv	-	1058	1	116921761	4	113
Proof	d	0	1	116922819	4	114
Proof/hr-bbkna.jpg	-	821147	1	116922819	4	114
