lfc-bope.nfo	-	5628	1	0	0	0
lfc-bope.r00	-	50000000	1	5628	0	1
lfc-bope.r01	-	50000000	1	50005628	0	49
lfc-bope.r02	-	50000000	1	100005628	0	97
lfc-bope.r03	-	50000000	1	150005628	0	145
lfc-bope.r04	-	50000000	1	200005628	0	193
lfc-bope.r05	-	50000000	1	250005628	0	241
lfc-bope.r06	-	50000000	1	300005628	0	289
lfc-bope.r07	-	50000000	1	350005628	0	337
lfc-bope.r08	-	50000000	1	400005628	0	385
lfc-bope.r09	-	50000000	1	450005628	0	433
lfc-bope.r10	-	50000000	1	500005628	0	481
lfc-bope.r11	-	50000000	1	12251264	1	12
lfc-bope.r12	-	50000000	1	62251264	1	60
lfc-bope.r13	-	50000000	1	112251264	1	108
lfc-bope.r14	-	50000000	1	162251264	1	156
lfc-bope.r15	-	50000000	1	212251264	1	204
lfc-bope.r16	-	50000000	1	262251264	1	252
lfc-bope.r17	-	50000000	1	312251264	1	300
lfc-bope.r18	-	27261149	1	362251264	1	348
lfc-bope.rar	-	50000000	1	389512413	1	374
lfc-bope.sfv	-	460	1	439512413	1	422
