lfc-bbh3a.nfo	-	6987	1	0	0	0
lfc-bbh3a.r00	-	100000000	1	6987	0	1
lfc-bbh3a.r01	-	100000000	1	100006987	0	97
lfc-bbh3a.r02	-	100000000	1	200006987	0	193
lfc-bbh3a.r03	-	100000000	1	300006987	0	289
lfc-bbh3a.r04	-	100000000	1	400006987	0	385
lfc-bbh3a.r05	-	100000000	1	500006987	0	481
lfc-bbh3a.r06	-	100000000	1	62251264	1	60
lfc-bbh3a.r07	-	100000000	1	162251264	1	156
lfc-bbh3a.r08	-	100000000	1	262251264	1	252
lfc-bbh3a.r09	-	100000000	1	362251264	1	348
lfc-bbh3a.r10	-	100000000	1	462251264	1	444
lfc-bbh3a.r11	-	100000000	1	24502528	2	24
lfc-bbh3a.r12	-	100000000	1	124502528	2	120
lfc-bbh3a.r13	-	100000000	1	224502528	2	216
lfc-bbh3a.r14	-	100000000	1	324502528	2	312
lfc-bbh3a.r15	-	100000000	1	424502528	2	408
lfc-bbh3a.r16	-	100000000	1	524502528	2	504
lfc-bbh3a.r17	-	100000000	1	87417088	3	84
lfc-bbh3a.r18	-	100000000	1	187417088	3	180
lfc-bbh3a.r19	-	100000000	1	287417088	3	276
lfc-bbh3a.r20	-	100000000	1	387417088	3	372
lfc-bbh3a.r21	-	100000000	1	487417088	3	468
lfc-bbh3a.r22	-	100000000	1	49668352	4	48
lfc-bbh3a.r23	-	100000000	1	149668352	4	144
lfc-bbh3a.r24	-	100000000	1	249668352	4	240
lfc-bbh3a.r25	-	100000000	1	349668352	4	336
lfc-bbh3a.r26	-	100000000	1	449668352	4	432
lfc-bbh3a.r27	-	100000000	1	11919616	5	12
lfc-bbh3a.r28	-	100000000	1	111919616	5	108
lfc-bbh3a.r29	-	100000000	1	211919616	5	204
lfc-bbh3a.r30	-	100000000	1	311919616	5	300
lfc-bbh3a.r31	-	100000000	1	411919616	5	396
lfc-bbh3a.r32	-	100000000	1	511919616	5	492
lfc-bbh3a.r33	-	100000000	1	74834176	6	72
lfc-bbh3a.r34	-	100000000	1	174834176	6	168
lfc-bbh3a.r35	-	100000000	1	274834176	6	264
lfc-bbh3a.r36	-	100000000	1	374834176	6	360
lfc-bbh3a.r37	-	100000000	1	474834176	6	456
lfc-bbh3a.r38	-	100000000	1	37085440	7	36
lfc-bbh3a.r39	-	100000000	1	137085440	7	132
lfc-bbh3a.r40	-	100000000	1	237085440	7	228
lfc-bbh3a.r41	-	100000000	1	337085440	7	324
lfc-bbh3a.r42	-	100000000	1	437085440	7	420
lfc-bbh3a.r43	-	100000000	1	0	8	0
lfc-bbh3a.r44	-	100000000	1	100000000	8	96
lfc-bbh3a.r45	-	100000000	1	200000000	8	192
lfc-bbh3a.r46	-	94101147	1	300000000	8	288
lfc-bbh3a.rar	-	100000000	1	394101147	8	378
lfc-bbh3a.sfv	-	1152	1	494101147	8	474
Proof	d	0	1	494102299	8	475
Proof/lfc-bbh3a.jpg	-	530991	1	494102299	8	475
