hr-aq3wa.nfo	-	11258	1	0	0	0
hr-aq3wa.r00	-	150000000	1	11258	0	1
hr-aq3wa.r01	-	150000000	1	150011258	0	145
hr-aq3wa.r02	-	150000000	1	300011258	0	289
hr-aq3wa.r03	-	150000000	1	450011258	0	433
hr-aq3wa.r04	-	150000000	1	62968192	1	61
hr-aq3wa.r05	-	150000000	1	212968192	1	205
hr-aq3wa.r06	-	150000000	1	362968192	1	349
hr-aq3wa.r07	-	150000000	1	512968192	1	493
hr-aq3wa.r08	-	150000000	1	125882752	2	121
hr-aq3wa.r09	-	150000000	1	275882752	2	265
hr-aq3wa.r10	-	150000000	1	425882752	2	409
hr-aq3wa.r11	-	150000000	1	38850944	3	38
hr-aq3wa.r12	-	150000000	1	188850944	3	182
hr-aq3wa.r13	-	150000000	1	338850944	3	326
hr-aq3wa.r14	-	150000000	1	488850944	3	470
hr-aq3wa.r15	-	150000000	1	101765504	4	98
hr-aq3wa.r16	-	150000000	1	251765504	4	242
hr-aq3wa.r17	-	150000000	1	401765504	4	386
hr-aq3wa.r18	-	150000000	1	14733696	5	15
hr-aq3wa.r19	-	150000000	1	164733696	5	159
hr-aq3wa.r20	-	150000000	1	314733696	5	303
hr-aq3wa.r21	-	150000000	1	464733696	5	447
hr-aq3wa.r22	-	150000000	1	77648256	6	75
hr-aq3wa.r23	-	150000000	1	227648256	6	219
hr-aq3wa.r24	-	150000000	1	377648256	6	363
hr-aq3wa.r25	-	150000000	1	527648256	6	507
hr-aq3wa.r26	-	150000000	1	140562816	7	135
hr-aq3wa.r27	-	150000000	1	290562816	7	279
hr-aq3wa.r28	-	150000000	1	440562816	7	423
hr-aq3wa.r29	-	150000000	1	53531008	8	52
hr-aq3wa.r30	-	150000000	1	203531008	8	196
hr-aq3wa.r31	-	150000000	1	353531008	8	340
hr-aq3wa.r32	-	150000000	1	503531008	8	484
hr-aq3wa.r33	-	150000000	1	116445568	9	112
hr-aq3wa.r34	-	150000000	1	266445568	9	256
hr-aq3wa.r35	-	150000000	1	416445568	9	400
hr-aq3wa.r36	-	150000000	1	29413760	10	29
hr-aq3wa.r37	-	150000000	1	179413760	10	173
hr-aq3wa.r38	-	150000000	1	329413760	10	317
hr-aq3wa.r39	-	150000000	1	479413760	10	461
hr-aq3wa.r40	-	150000000	1	92328320	11	89
hr-aq3wa.r41	-	150000000	1	242328320	11	233
hr-aq3wa.r42	-	150000000	1	392328320	11	377
hr-aq3wa.r43	-	150000000	1	5296512	12	6
hr-aq3wa.r44	-	150000000	1	155296512	12	150
hr-aq3wa.r45	-	150000000	1	305296512	12	294
hr-aq3wa.r46	-	150000000	1	455296512	12	438
hr-aq3wa.r47	-	150000000	1	68211072	13	66
hr-aq3wa.r48	-	150000000	1	218211072	13	210
hr-aq3wa.r49	-	150000000	1	368211072	13	354
hr-aq3wa.r50	-	150000000	1	518211072	13	498
hr-aq3wa.r51	-	150000000	1	131125632	14	126
hr-aq3wa.r52	-	150000000	1	281125632	14	270
hr-aq3wa.r53	-	150000000	1	431125632	14	414
hr-aq3wa.r54	-	150000000	1	44093824	15	43
hr-aq3wa.r55	-	150000000	1	194093824	15	187
hr-aq3wa.r56	-	150000000	1	344093824	15	331
hr-aq3wa.r57	-	150000000	1	494093824	15	475
hr-aq3wa.r58	-	150000000	1	107008384	16	103
hr-aq3wa.r59	-	150000000	1	257008384	16	247
hr-aq3wa.r60	-	150000000	1	407008384	16	391
hr-aq3wa.r61	-	150000000	1	19976576	17	20
hr-aq3wa.r62	-	150000000	1	169976576	17	164
hr-aq3wa.r63	-	150000000	1	319976576	17	308
hr-aq3wa.r64	-	150000000	1	469976576	17	452
hr-aq3wa.r65	-	150000000	1	82891136	18	80
hr-aq3wa.r66	-	150000000	1	232891136	18	224
hr-aq3wa.r67	-	150000000	1	382891136	18	368
hr-aq3wa.r68	-	150000000	1	532891136	18	512
hr-aq3wa.r69	-	150000000	1	145805696	19	140
hr-aq3wa.r70	-	150000000	1	295805696	19	284
hr-aq3wa.r71	-	150000000	1	445805696	19	428
hr-aq3wa.r72	-	150000000	1	58773888	20	57
hr-aq3wa.r73	-	150000000	1	208773888	20	201
hr-aq3wa.r74	-	150000000	1	358773888	20	345
hr-aq3wa.r75	-	73914814	1	508773888	20	489
hr-aq3wa.rar	-	150000000	1	45603262	21	44
hr-aq3wa.sfv	-	1771	1	195603262	21	188
Proof	d	0	1	195605033	21	189
Proof/hr-aq3wa.jpg	-	148157	1	195605033	21	189
