brw-madb.nfo	-	4685	1	0	0	0
brw-madb.r00	-	50000000	1	4685	0	1
brw-madb.r01	-	50000000	1	50004685	0	49
brw-madb.r02	-	50000000	1	100004685	0	97
brw-madb.r03	-	50000000	1	150004685	0	145
brw-madb.r04	-	50000000	1	200004685	0	193
brw-madb.r05	-	50000000	1	250004685	0	241
brw-madb.r06	-	50000000	1	300004685	0	289
brw-madb.r07	-	50000000	1	350004685	0	337
brw-madb.r08	-	50000000	1	400004685	0	385
brw-madb.r09	-	50000000	1	450004685	0	433
brw-madb.r10	-	50000000	1	500004685	0	481
brw-madb.r11	-	50000000	1	12251264	1	12
brw-madb.r12	-	50000000	1	62251264	1	60
brw-madb.r13	-	50000000	1	112251264	1	108
brw-madb.r14	-	50000000	1	162251264	1	156
brw-madb.r15	-	50000000	1	212251264	1	204
brw-madb.r16	-	50000000	1	262251264	1	252
brw-madb.r17	-	50000000	1	312251264	1	300
brw-madb.r18	-	50000000	1	362251264	1	348
brw-madb.r19	-	50000000	1	412251264	1	396
brw-madb.r20	-	50000000	1	462251264	1	444
brw-madb.r21	-	50000000	1	512251264	1	492
brw-madb.r22	-	50000000	1	24834176	2	24
brw-madb.r23	-	50000000	1	74834176	2	72
brw-madb.r24	-	50000000	1	124834176	2	120
brw-madb.r25	-	50000000	1	174834176	2	168
brw-madb.r26	-	50000000	1	224834176	2	216
brw-madb.r27	-	2918245	1	274834176	2	264
brw-madb.rar	-	50000000	1	277752421	2	267
brw-madb.sfv	-	667	1	327752421	2	315
