n-fm21t.nfo	-	6072	1	0	0	0
n-fm21t.r00	-	100000000	1	6072	0	1
n-fm21t.r01	-	100000000	1	100006072	0	97
n-fm21t.r02	-	100000000	1	200006072	0	193
n-fm21t.r03	-	100000000	1	300006072	0	289
n-fm21t.r04	-	100000000	1	400006072	0	385
n-fm21t.r05	-	100000000	1	500006072	0	481
n-fm21t.r06	-	100000000	1	62251264	1	60
n-fm21t.r07	-	100000000	1	162251264	1	156
n-fm21t.r08	-	100000000	1	262251264	1	252
n-fm21t.r09	-	100000000	1	362251264	1	348
n-fm21t.r10	-	100000000	1	462251264	1	444
n-fm21t.r11	-	100000000	1	24502528	2	24
n-fm21t.r12	-	100000000	1	124502528	2	120
n-fm21t.r13	-	100000000	1	224502528	2	216
n-fm21t.r14	-	100000000	1	324502528	2	312
n-fm21t.r15	-	100000000	1	424502528	2	408
n-fm21t.r16	-	100000000	1	524502528	2	504
n-fm21t.r17	-	100000000	1	87417088	3	84
n-fm21t.r18	-	100000000	1	187417088	3	180
n-fm21t.r19	-	100000000	1	287417088	3	276
n-fm21t.r20	-	100000000	1	387417088	3	372
n-fm21t.r21	-	100000000	1	487417088	3	468
n-fm21t.r22	-	100000000	1	49668352	4	48
n-fm21t.r23	-	100000000	1	149668352	4	144
n-fm21t.r24	-	100000000	1	249668352	4	240
n-fm21t.r25	-	100000000	1	349668352	4	336
n-fm21t.r26	-	100000000	1	449668352	4	432
n-fm21t.r27	-	100000000	1	11919616	5	12
n-fm21t.r28	-	100000000	1	111919616	5	108
n-fm21t.r29	-	100000000	1	211919616	5	204
n-fm21t.r30	-	100000000	1	311919616	5	300
n-fm21t.r31	-	100000000	1	411919616	5	396
n-fm21t.r32	-	100000000	1	511919616	5	492
n-fm21t.r33	-	100000000	1	74834176	6	72
n-fm21t.r34	-	100000000	1	174834176	6	168
n-fm21t.r35	-	100000000	1	274834176	6	264
n-fm21t.r36	-	100000000	1	374834176	6	360
n-fm21t.r37	-	100000000	1	474834176	6	456
n-fm21t.r38	-	100000000	1	37085440	7	36
n-fm21t.r39	-	100000000	1	137085440	7	132
n-fm21t.r40	-	100000000	1	237085440	7	228
n-fm21t.r41	-	100000000	1	337085440	7	324
n-fm21t.r42	-	41737771	1	437085440	7	420
n-fm21t.rar	-	100000000	1	478823211	7	460
n-fm21t.sfv	-	968	1	41279744	8	40
