sxs-strange_field_football_v655360.nfo	19516c42
sxs-strange_field_football_v655360.r00	9355748e
sxs-strange_field_football_v655360.r01	dc7bc4e9
sxs-strange_field_football_v655360.r02	9ddb42d0
sxs-strange_field_football_v655360.r03	1099e776
sxs-strange_field_football_v655360.r04	1e2f0c21
sxs-strange_field_football_v655360.r05	f95ab6ed
sxs-strange_field_football_v655360.r06	7feb63c5
sxs-strange_field_football_v655360.rar	51ca3d80
sxs-strange_field_football_v655360.sfv	a4b86777
